tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kraken.com,1zr8fRTfXMRf4ifFm9iB1irEBfQDs77uTTfbWLrwc6fFjPF,Exchange,Mandatory KYC and AML
MEXC Global,1zr8Qq5Qrg6rS1sVfsbDq1b2CWQKbkJW1QcBZjGaHaBWEqu,Exchange,Optional KYC and AML
Bybit.com,1zr37a1sNm9xdmwokTon3HeEUnGpM4YtVS5uK7Anvgsiutu,Exchange,Mandatory KYC and AML
Kraken.com,1zqwPczirgYbjWQ43mknDsn12RwX1zZ64466HXcr1vHCdiX,Exchange,Mandatory KYC and AML
Kraken.com,1zqvPehdQSx9nmJioqcecYAA5L78BRcVzzGbbMTF8fJUopN,Exchange,Mandatory KYC and AML
AEX,1zquy7h7dm3dkigt1enrnzxCQrEV8b86B8Q3nfq2TiKug7e,Exchange,Mandatory KYC and AML
MEXC Global,1zquLvp7B6Q6CRQnTyp84Cix9ETspsU11YVvPhF9oZ9SBQg,Exchange,Optional KYC and AML
Bybit.com,1zqtzBx1nfuy5wuGuyL6pdzKAf8Deo1zPkCGgekowFMNeyW,Exchange,Mandatory KYC and AML
Kraken.com,1zqtMtnfQ3TNTrdEzc2xgJ9oBuu2NVCTUJ6SgWzABdxNrMm,Exchange,Mandatory KYC and AML
Bybit.com,1zqsv5LBt3Wkfn9RwmqXXAchPtpVJFPd5pFN7S1KDzsppi2,Exchange,Mandatory KYC and AML
